"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"9915",109.00936575975,2.63186630578061,0.395778107975697,6.64985316960033,2.93385552113301e-11,3.0673278371253e-09
"7133",917.54486225541,1.973086696563,0.29692789195377,6.64500287790479,3.03211150811248e-11,3.15060568177307e-09
"19928",160.210262020935,1.38012211676323,0.208184387228688,6.62932573924086,3.3722367765236e-11,3.48265696853538e-09
"16794",915.054072773297,5.31600527805903,0.803082728941876,6.61949894634551,3.60418412190302e-11,3.69964039228312e-09
"9759",219.92443269112,0.896549802006357,0.135518643060412,6.61569347035661,3.69813967039126e-11,3.77321636129016e-09
"15851",22.4296660428795,3.75136026168942,0.567355184679817,6.61201371378402,3.79126867870044e-11,3.84507291084727e-09
"5157",344.55502308913,1.18512680195713,0.179282133193845,6.61040105248938,3.8328023127969e-11,3.86405790308578e-09
"10103",537.893858880221,1.98351950235915,0.300358285787626,6.60384479541754,4.00628959043935e-11,4.0150607569983e-09
"18080",960.311867025253,1.51079398879098,0.229178939724576,6.59220254097794,4.33348834945298e-11,4.31742895145207e-09
"8921",155.692667005677,3.20453493050175,0.48670527372627,6.58413849919371,4.5753048204851e-11,4.53169226576352e-09
"17336",14.3359836435015,5.08146199174834,0.773041602554077,6.57333573634269,4.92003469368449e-11,4.84480393063571e-09
"9059",430.878095642034,-0.704755546478972,0.107271653617469,-6.56982084933764,5.0375834429349e-11,4.93188154757159e-09
"9252",59.9828187894579,7.99460563881443,1.22428414564256,6.53002464114938,6.57588717319021e-11,6.40090810645533e-09
"21244",74.3618726093134,1.39891700978647,0.214447673477516,6.52334896947783,6.87546415132454e-11,6.65427064748479e-09
"8430",750.889851419889,1.97747353075613,0.303636123089694,6.51264253618462,7.38400893550595e-11,7.10584996253774e-09
"20376",459.862524038899,1.94068145792146,0.299124360899937,6.48787498310998,8.7055467105198e-11,8.33027370825276e-09
"4784",248.23491991059,0.695525977704148,0.107601872347499,6.46388359728493,1.02049384285169e-10,9.7101709080781e-09
"3150",841.856107997384,3.17964323297057,0.493638986814529,6.4412319891687,1.18507568375919e-10,1.11633604382517e-08
"15721",137.115276993705,2.2031429978829,0.342046514331261,6.44106256188662,1.18639952700319e-10,1.11633604382517e-08
"14541",321.628880415264,1.14063667289422,0.178059519325058,6.40592919276571,1.49456318816841e-10,1.3985313103872e-08
"1927",16.1183328151641,3.01747892826957,0.471543890233669,6.3991475465291,1.56246802764489e-10,1.45403961451767e-08
"3632",6.03512545642428,2.57852551331172,0.403098770323152,6.39675856923253,1.58709969172798e-10,1.46889111905994e-08
"17263",300.357622391475,2.52626858711226,0.396189727728387,6.37641112402637,1.81285872594629e-10,1.66871675224741e-08
"8754",28.3443646682532,5.25612390939051,0.826712015218498,6.35786563232825,2.0457629477845e-10,1.87292362414195e-08
"5042",465.254516455107,1.88110815794382,0.295992870704557,6.35524819724943,2.08090356971204e-10,1.89485289033402e-08
"10117",35.5757279064771,2.34618009357239,0.369777789539501,6.34483779162125,2.22659923651255e-10,2.01667974699535e-08
"19686",1419.41703574455,1.60104179039479,0.252607573557109,6.3380593378481,2.32677223934272e-10,2.09619901158232e-08
"4481",40.1284110395338,4.92231541725383,0.777595626132402,6.330173745622,2.44885291213164e-10,2.18295904067229e-08
"20939",243.864637793884,0.740058175580032,0.116898321114896,6.33078532285034,2.43916517782359e-10,2.18295904067229e-08
"20838",348.928791006837,1.86779143484868,0.295104361078662,6.32925731094433,2.46344015137236e-10,2.18446522742375e-08
"8058",483.045180705818,-0.726030270739484,0.114779878848252,-6.32541415816749,2.52554275511279e-10,2.2278707105909e-08
"4974",424.920087893906,1.9793559222194,0.313522529060453,6.31328130756992,2.73180268829022e-10,2.39733378920059e-08
"3796",920.94001189233,1.72620530090186,0.273479712501242,6.31200495683577,2.75443402609266e-10,2.40473448968718e-08
"12575",829.97621783914,2.98507043255814,0.47379746336273,6.30030902101481,2.97052812684345e-10,2.58009409663321e-08
"14905",68.3015454951369,8.04570226367229,1.27732681541532,6.29885959221504,2.99843439400716e-10,2.59104506792343e-08
"5914",405.27016943336,3.77856406708412,0.600951517876921,6.287635449251,3.22337741168734e-10,2.77128645795678e-08
"15032",1528.17448368638,1.95059188277551,0.310529659960622,6.28149943236618,3.35323025368408e-10,2.86836670740643e-08
